name,prices,category
Crispy Veg Burger+Fries(M),16000,Burger+Fries (Save upto 15%)
Crispy Veg Double Patty Burger+Fries(M),18900,Burger+Fries (Save upto 15%)
Crispy Chicken Double Patty Burger+Fries(M),22900,Burger+Fries (Save upto 15%)
Premium Family Feast for 4 - Chicken,98200,Family Feast for 4 ( Save upto 37%)
Classic Family Feast for 4 - Veg,73100,Family Feast for 4 ( Save upto 37%)
Veg Whopper,17900,Whopper
Chicken Whopper,19900,Whopper
Crispy Veg Burger,7000,Burgers & Wraps
Crispy Veg Double Patty Burger,9900,Burgers & Wraps
Crispy Chicken Burger,9900,Burgers & Wraps
Crispy Chicken Double Patty Burger,13900,Burgers & Wraps
Hot 'N' Saucy Burger,19900,Kings Premium Burgers
Fiery Chicken Burger,19900,Kings Premium Burgers
Crispy Veg Double Patty + Crispy Veg Double Patty,19800,Burger Doubles.
Veg Makhani Burst + Whopper Jr Veg,22900,Burger Doubles.
4 Crispy Veg + 2 Medium Fries,40000,Friends & Family Combo (Save upto 20%)
Medium Fries,11500,Sides
King Fries,13000,Sides
King Peri Peri Fries,15900,Sides
Chocolate Thick Shake,18900,Beverages
Crispy Veg Burger + Fries (Reg) + Soft Drink,12900,Crispy Meal Deals (Save upto 47%)
Crispy Chicken Burger + Fries (Reg) + Soft Drink,16900,Crispy Meal Deals (Save upto 47%)
Fiery Chicken Wrap+Fries(Reg),27900,Burger+Fries (Save upto 15%)
Paneer Royale Wrap+Fries(Reg),27900,Burger+Fries (Save upto 15%)
Hot 'N' Saucy Burger+Fries(Reg),26900,Burger+Fries (Save upto 15%)
Fiery Chicken Burger+Fries(Reg),26900,Burger+Fries (Save upto 15%)
Paneer Royale Burger+Fries(Reg),26900,Burger+Fries (Save upto 15%)
Chicken Tandoori+Fries(Reg),26900,Burger+Fries (Save upto 15%)
Whopper Jr Chicken+Fries(Reg),24900,Burger+Fries (Save upto 15%)
BK Chicken Burger+Fries(Reg),22900,Burger+Fries (Save upto 15%)
Whopper Jr Veg+Fries(Reg),22900,Burger+Fries (Save upto 15%)
Veg Whopper+Fries(Reg),24900,Burger+Fries (Save upto 15%)
Chicken Whopper+Fries(Reg),26900,Burger+Fries (Save upto 15%)
BK Veggie Burger+Fries(Reg),21900,Burger+Fries (Save upto 15%)
Crispy Chicken Double Patty Burger+Fries(Reg),20900,Burger+Fries (Save upto 15%)
Crunchy Chicken Taco+Fries(Reg),19000,Burger+Fries (Save upto 15%)
Chicken Makhani Burst Burger+Fries(Reg),18000,Burger+Fries (Save upto 15%)
Crispy Veg Double Patty Burger+Fries(Reg),17900,Burger+Fries (Save upto 15%)
Crispy Chicken Burger+Fries(Reg),17000,Burger+Fries (Save upto 15%)
Veg Crunchy Taco+Fries(Reg),17000,Burger+Fries (Save upto 15%)
Veg Makhani Burst Burger+Fries(Reg),16000,Burger+Fries (Save upto 15%)
Crispy Veg Burger+Fries(Reg),15000,Burger+Fries (Save upto 15%)
Crispy Veg Burger+Fries(M),16000,Burger+Fries (Save upto 15%)
Veg Crunchy Taco+Fries(M),18000,Burger+Fries (Save upto 15%)
Crispy Chicken Burger+Fries(M),18900,Burger+Fries (Save upto 15%)
Crispy Veg Double Patty Burger+Fries(M),18900,Burger+Fries (Save upto 15%)
Crunchy Chicken Taco+Fries(M),20900,Burger+Fries (Save upto 15%)
BK Veggie Burger+Fries(M),22900,Burger+Fries (Save upto 15%)
Crispy Chicken Double Patty Burger+Fries(M),22900,Burger+Fries (Save upto 15%)
BK Chicken Burger+Fries(M),23900,Burger+Fries (Save upto 15%)
Whopper Jr Veg+Fries(M),23900,Burger+Fries (Save upto 15%)
Veg Whopper+Fries(M),26900,Burger+Fries (Save upto 15%)
Paneer Royale Wrap+Fries(M),29900,Burger+Fries (Save upto 15%)
Chicken Whopper+Fries(M),28900,Burger+Fries (Save upto 15%)
No Strings Attached Combo - Veg,73600,Flavours Of Love Combos (Save Rs 122)
Premium Family Feast for 4 - Veg,95300,Family Feast for 4 ( Save upto 37%)
